Date,MSFT,F,JPM,GOOG,HPQ,C,HOG,VZ,AAPL,IBM,T,CSCO,BAC,INTC,AMD,SNE,NVDA,AMZN,MS,BK
11/01/2007,27.600461959838867,5.761930465698242,31.646188735961914,350.2920227050781,17.382328033447266,320.17938232421875,36.006717681884766,22.010269165039062,5.774829387664795,77.25000762939453,19.256851196289062,24.065229415893555,36.28221130371094,17.68382453918457,12.800000190734863,48.66726303100586,32.5288200378418,87.6500015258789,48.93628692626953,35.58235549926758
11/02/2007,27.600461959838867,6.066973686218262,30.810760498046875,354.2969970703125,17.68609619140625,313.6941833496094,36.013999938964844,21.833160400390625,5.788078308105469,77.8889389038086,19.237812042236328,24.312007904052734,35.80596923828125,17.88401985168457,13.170000076293945,49.103389739990234,33.77922821044922,85.9800033569336,46.17666244506836,35.74137878417969
11/05/2007,27.35470199584961,5.877169132232666,30.5394344329834,361.4701232910156,17.733348846435547,298.4792785644531,35.285850524902344,21.557668685913086,5.736010551452637,77.08006286621094,19.05695343017578,24.738283157348633,35.282100677490234,17.98655128479004,13.420000076293945,48.21131896972656,33.77922821044922,84.37000274658203,43.58169174194336,35.90796661376953
11/06/2007,27.11638641357422,5.850055694580078,31.496248245239258,369.5099792480469,18.026994705200195,291.6617126464844,35.460601806640625,21.518314361572266,5.908847808837891,76.9237289428711,19.05695343017578,25.48611068725586,36.16316223144531,18.422142028808594,13.430000305175781,48.41946792602539,34.845741271972656,87.2699966430664,42.7349853515625,36.5591926574707
11/07/2007,26.453550338745117,5.5856828689575195,30.160978317260742,365.10150146484375,17.497089385986328,277.7769470214844,35.03829574584961,21.203454971313477,5.739706993103027,75.77091979980469,18.400148391723633,24.49148941040039,34.37722396850586,18.026756286621094,13.010000228881836,47.50757598876953,33.190799713134766,87.04000091552734,40.13215637207031,34.658531188964844
11/08/2007,25.872644424438477,5.748373031616211,30.42518424987793,345.62451171875,16.855789184570312,273.5367126464844,35.824684143066406,21.021432876586914,5.406046390533447,72.3807373046875,18.723798751831055,22.158252716064453,34.52803421020508,17.376718521118164,12.510000228881836,46.8533935546875,31.112924575805664,83.58000183105469,42.084266662597656,34.83271026611328
11/09/2007,25.120450973510742,5.558568477630615,30.21097183227539,330.7452697753906,16.33263397216797,275.1994934082031,35.067405700683594,21.041109085083008,5.094876289367676,68.38347625732422,18.65715980529785,21.37302589416504,34.90903091430664,16.854015350341797,12.369999885559082,46.58577346801758,30.67160987854004,78.88999938964844,42.49195098876953,33.95430374145508
11/12/2007,24.85978126525879,5.334869861602783,30.268096923828125,314.8548583984375,16.04574966430664,279.1072082519531,35.12565612792969,21.055864334106445,4.737183570861816,69.20201873779297,18.395381927490234,21.769380569458008,34.90903091430664,17.001445770263672,11.949999809265137,46.2983283996582,27.60997200012207,77.0,42.15482711791992,34.961429595947266
11/13/2007,25.748964309692383,5.422993183135986,32.167415618896484,329.0416564941406,16.707284927368164,298.4792785644531,36.31253433227539,21.43960189819336,5.236289978027344,71.80775451660156,18.966527938842773,22.539644241333008,36.72669982910156,17.517452239990234,12.399999618530273,48.48884963989258,30.046415328979492,79.86000061035156,43.793365478515625,35.80952072143555
11/14/2007,25.352941513061523,5.409436225891113,32.23884201049805,319.64190673828125,16.56215476989746,299.6431884765625,35.43876266479492,21.410079956054688,5.117673397064209,70.55947875976562,18.723798751831055,22.218076705932617,36.2980842590332,17.32310676574707,12.279999732971191,48.22123336791992,29.577512741088867,78.51000213623047,43.59736251831055,35.50662612915039
11/15/2007,25.22591781616211,5.273861885070801,31.08209228515625,313.64935302734375,16.504772186279297,287.5045166015625,35.43876266479492,21.17393684387207,5.061910152435303,70.66860961914062,18.738075256347656,21.911468505859375,34.98841094970703,17.108665466308594,12.699999809265137,47.95361328125,29.18216323852539,77.8499984741211,41.76283645629883,34.62823486328125
11/16/2007,25.47249984741211,5.219631195068359,30.767913818359375,315.6319274902344,17.12919044494629,282.682373046875,34.863529205322266,21.49371337890625,5.12630033493042,71.4803466796875,18.82373809814453,22.39008140563965,35.21858215332031,17.09526252746582,12.640000343322754,47.804931640625,29.834943771362305,78.5999984741211,41.472782135009766,35.430908203125
11/19/2007,25.3753604888916,4.975596904754639,29.539779663085938,311.7564697265625,16.687028884887695,266.053955078125,34.302852630615234,21.17885971069336,5.051126003265381,69.72725677490234,17.9670352935791,22.008689880371094,33.988285064697266,16.867416381835938,12.069999694824219,46.9029541015625,27.821430206298828,79.18000030517578,40.085113525390625,35.014434814453125
11/20/2007,25.83863639831543,4.907808303833008,29.72541618347168,323.05908203125,16.727535247802734,261.06549072265625,32.832000732421875,21.232973098754883,5.202090740203857,70.54582977294922,18.100303649902344,21.7170352935791,33.94861602783203,17.101966857910156,11.279999732971191,47.71572494506836,27.60997200012207,80.38999938964844,39.536346435546875,34.75696563720703
11/21/2007,25.57711410522461,4.711226463317871,29.047080993652344,329.0267333984375,16.49802017211914,255.49488830566406,33.8222770690918,20.6377010345459,5.190075874328613,69.72725677490234,17.824251174926758,21.126249313354492,33.44852066040039,16.505542755126953,10.829999923706055,46.91286849975586,27.315752029418945,79.76000213623047,38.03107452392578,33.742286682128906
11/23/2007,25.487442016601562,4.873915672302246,29.953908920288086,337.0865173339844,16.595905303955078,263.55975341796875,33.880523681640625,20.977161407470703,5.28496789932251,70.9755630493164,17.909923553466797,21.455293655395508,34.250213623046875,16.800405502319336,10.779999732971191,48.64744567871094,27.784645080566406,81.43000030517578,39.11297607421875,34.385921478271484
